user_id,amount,merchant,timestamp,label
13,232.36,McDonalds,2025-08-07T08:32:37.304743,0
1,12.0,Starbucks,2025-08-29T13:54:50.304743,0
21,120.0,Uber,2025-08-15T17:29:03.304743,0
9,53.89,Target,2025-09-16T20:24:55.304743,0
47,12.97,Costco,2025-09-04T04:26:58.304743,0
5,39.0,Google Play,2025-09-12T02:00:41.304743,0
15,10.0,McDonalds,2025-08-14T09:17:02.304743,0
16,83.47,Walmart,2025-07-26T18:50:31.304743,0
2,277.55,Netflix,2025-08-29T18:08:11.304743,0
30,1028.0,Netflix,2025-08-15T17:09:30.304743,0
49,20.64,Google Play,2025-08-28T04:04:55.304743,0
7,79.57,Uber,2025-08-29T22:06:55.304743,0
7,395.86,Walmart,2025-09-29T14:10:57.304743,0
40,7.49,Apple,2025-09-23T22:15:04.304743,0
16,0.05,Starbucks,2025-07-18T16:46:58.304743,0
42,41.6,Uber,2025-09-17T13:31:43.304743,0
25,34.66,Uber,2025-08-02T03:48:36.304743,0
26,1.98,Walmart,2025-10-04T10:27:35.304743,0
22,69.64,McDonalds,2025-10-03T19:05:19.304743,0
24,4.05,Starbucks,2025-09-30T22:32:08.304743,0
28,98.0,Walmart,2025-08-06T06:03:17.304743,0
30,160.0,Google Play,2025-09-09T06:56:21.304743,0
24,89.99,Apple,2025-08-31T03:15:18.304743,0
43,57.0,Amazon,2025-08-05T05:29:54.304743,0
48,43.25,Uber,2025-07-14T20:37:12.304743,0
33,198.0,Amazon,2025-09-17T20:42:36.304743,0
20,48.79,McDonalds,2025-09-11T05:48:15.304743,0
43,130.0,McDonalds,2025-09-10T11:52:01.304743,0
49,0.89,Walmart,2025-09-04T10:35:54.304743,0
20,289.0,Costco,2025-10-01T23:59:32.304743,0
46,289.98,Amazon,2025-08-25T18:46:33.304743,0
10,79.0,Starbucks,2025-08-26T18:12:31.304743,0
26,21.74,McDonalds,2025-10-10T15:44:20.304743,0
30,46.48,Amazon,2025-09-21T05:23:26.304743,0
47,24.38,Walmart,2025-10-06T16:05:10.304743,0
36,29.0,Costco,2025-09-23T11:24:25.304743,0
49,25.0,Walmart,2025-09-23T10:14:33.304743,0
11,631.86,Costco,2025-09-26T18:42:18.304743,0
6,9.99,McDonalds,2025-08-12T22:13:55.304743,0
2,120.0,Uber,2025-08-09T12:49:52.304743,0
8,1.0,Walmart,2025-09-28T21:09:52.304743,0
40,4.47,Netflix,2025-10-02T07:28:29.304743,0
24,178.0,Uber,2025-08-16T02:31:59.304743,0
32,4.39,Walmart,2025-08-29T23:42:23.304743,0
2,157.68,Starbucks,2025-09-08T18:28:56.304743,0
23,34.0,Walmart,2025-09-13T21:28:27.304743,0
42,47.9,Apple,2025-09-02T09:56:10.304743,0
49,8.91,Google Play,2025-09-12T22:19:55.304743,0
39,249.27,Uber,2025-09-29T03:00:31.304743,0
48,119.99,Target,2025-08-31T11:01:09.304743,0
48,0.76,Uber,2025-07-30T22:20:49.304743,0
11,77.88,Amazon,2025-08-20T12:43:13.304743,0
24,0.75,Apple,2025-08-01T16:01:41.304743,0
27,26.6,Uber,2025-10-06T03:47:31.304743,0
15,7.55,Walmart,2025-09-12T14:55:28.304743,0
